IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
97,1,25 hp/18.5 kW,25,105,115,115,2,50,15,40,2,20,27.5,22.70000076,21.70000076,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
98,1,25 hp/18.5 kW,25,105,115,115,3,40,15,40,2,16.66699982,27.5,22.70000076,21.70000076,57,26,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
99,1,25 hp/18.5 kW,25,100,115,125,4,100,15,40,2,-9999,26.29999924,21.70000076,21.70000076,-9999,26,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
101,1,25 hp/18.5 kW,25,87,125,135,1,50,15,40,2,5,26.29999924,21.70000076,24.89999962,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
102,1,25 hp/18.5 kW,25,91,125,125,2,50,15,40,2,20,27.5,22.70000076,24.89999962,65,25,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
103,1,25 hp/18.5 kW,25,91,125,125,3,40,15,40,2,16.66699982,27.5,22.70000076,24.89999962,57,25,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
104,1,25 hp/18.5 kW,25,87,125,135,4,100,15,40,2,-9999,26.29999924,21.70000076,24.89999962,-9999,25,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
106,1,25 hp/18.5 kW,25,82,140,150,1,50,15,40,2,5,26.29999924,21.70000076,26.39999962,65,24,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
107,1,25 hp/18.5 kW,25,86,140,140,2,50,15,40,2,20,27.5,22.70000076,26.39999962,65,24,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
108,1,25 hp/18.5 kW,25,86,140,140,3,40,15,40,2,16.66699982,27.5,22.70000076,26.39999962,57,24,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
109,1,25 hp/18.5 kW,25,82,140,150,4,100,15,40,2,-9999,26.29999924,21.70000076,26.39999962,-9999,24,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
111,1,25 hp/18.5 kW,25,81,150,160,1,50,15,40,2,5,26.29999924,21.70000076,26.89999962,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
112,1,25 hp/18.5 kW,25,84,150,150,2,50,15,40,2,20,27.5,22.70000076,26.89999962,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
113,1,25 hp/18.5 kW,25,84,150,150,3,40,15,40,2,16.66699982,27.5,22.70000076,26.89999962,57,23,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
114,1,25 hp/18.5 kW,25,81,150,160,4,100,15,40,2,-9999,26.29999924,21.70000076,26.89999962,-9999,23,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
116,1,25 hp/18.5 kW,25,78,175,185,1,50,15,40,2,5,26.29999924,21.70000076,27.79999924,65,16,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
117,1,25 hp/18.5 kW,25,82,175,175,2,50,15,40,2,20,27.5,22.70000076,27.79999924,65,16,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
118,1,25 hp/18.5 kW,25,82,175,175,3,40,15,40,2,16.66699982,27.5,22.70000076,27.79999924,57,16,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
119,1,25 hp/18.5 kW,25,78,175,185,4,100,15,40,2,-9999,26.29999924,21.70000076,27.79999924,-9999,16,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
121,1,25 hp/18.5 kW,25,58,200,210,1,50,15,40,2,5,26.29999924,21.70000076,37.5,65,14,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
122,1,25 hp/18.5 kW,25,61,200,200,2,50,15,40,2,20,27.5,22.70000076,37.5,65,14,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
123,1,25 hp/18.5 kW,25,61,200,200,3,40,15,40,2,16.66699982,27.5,22.70000076,37.5,57,14,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
124,1,25 hp/18.5 kW,25,58,200,210,4,100,15,40,2,-9999,26.29999924,21.70000076,37.5,-9999,14,-9999,-9999,-9999,-9999,-9999,68,14.5,31.20000076,90.19999695
126,1,30 hp/22 kW,30,133,100,110,1,50,15,40,2,5,31.5,25.79999924,19.39999962,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
127,1,30 hp/22 kW,30,139,100,100,2,50,15,40,2,20,33,27.10000038,19.39999962,65,26,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
128,1,30 hp/22 kW,30,139,100,100,3,40,15,40,2,16.66699982,33,27.10000038,19.39999962,57,26,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
129,1,30 hp/22 kW,30,133,100,110,4,100,15,40,2,-9999,31.5,25.79999924,19.39999962,-9999,26,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
131,1,30 hp/22 kW,30,123,115,125,1,50,15,40,2,5,31.5,25.79999924,21,65,24,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
132,1,30 hp/22 kW,30,129,115,115,2,50,15,40,2,20,33,27.10000038,21,65,24,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
133,1,30 hp/22 kW,30,129,115,115,3,40,15,40,2,16.66699982,33,27.10000038,21,57,24,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
134,1,30 hp/22 kW,30,123,115,125,4,100,15,40,2,-9999,31.5,25.79999924,21,-9999,24,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
136,1,30 hp/22 kW,30,113,125,135,1,50,15,40,2,5,31.5,25.79999924,22.79999924,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
137,1,30 hp/22 kW,30,118,125,125,2,50,15,40,2,20,33,27.10000038,22.79999924,65,23,-9999,-9999,-9999,-9999,-9999,68,14.5,37,91
