ZIP (character),ZIP (numeric),state,eGRID Subregion #1,eGRID Subregion #2,eGRID Subregion #3,,,,,
01257,1257,MA,NEWE,,,,,,,
01258,1258,MA,NEWE,,,,,,,
01259,1259,MA,NEWE,,,,,,,
01260,1260,MA,NEWE,,,,,,,
01262,1262,MA,NEWE,,,,,,,
01263,1263,MA,NEWE,,,,,,,
01264,1264,MA,NEWE,,,,,,,
01266,1266,MA,NEWE,,,,,,,
01267,1267,MA,NEWE,,,,,,,
01270,1270,MA,NEWE,,,,,,,
01301,1301,MA,NEWE,,,,,,,
01302,1302,MA,NEWE,,,,,,,
01330,1330,MA,NEWE,,,,,,,
01331,1331,MA,NEWE,,,,,,,
01331,1331,MA,NEWE,,,,,,,
01337,1337,MA,NEWE,,,,,,,
01338,1338,MA,NEWE,,,,,,,
01339,1339,MA,NEWE,,,,,,,
01340,1340,MA,NEWE,,,,,,,
01341,1341,MA,NEWE,,,,,,,
01342,1342,MA,NEWE,,,,,,,
01343,1343,MA,NEWE,,,,,,,
01344,1344,MA,NEWE,,,,,,,
01346,1346,MA,NEWE,,,,,,,
01347,1347,MA,NEWE,,,,,,,
01349,1349,MA,NEWE,,,,,,,
01350,1350,MA,NEWE,,,,,,,
01351,1351,MA,NEWE,,,,,,,
01354,1354,MA,NEWE,,,,,,,
01355,1355,MA,NEWE,,,,,,,
01360,1360,MA,NEWE,,,,,,,
01364,1364,MA,NEWE,,,,,,,
01366,1366,MA,NEWE,,,,,,,
01367,1367,MA,NEWE,,,,,,,
01368,1368,MA,NEWE,,,,,,,
01368,1368,MA,NEWE,,,,,,,
01370,1370,MA,NEWE,,,,,,,
01373,1373,MA,NEWE,,,,,,,
01375,1375,MA,NEWE,,,,,,,
01376,1376,MA,NEWE,,,,,,,
01378,1378,MA,NEWE,,,,,,,
01379,1379,MA,NEWE,,,,,,,
01380,1380,MA,NEWE,,,,,,,
01420,1420,MA,NEWE,,,,,,,
01420,1420,MA,NEWE,,,,,,,
01430,1430,MA,NEWE,,,,,,,
01430,1430,MA,NEWE,,,,,,,
01431,1431,MA,NEWE,,,,,,,
01431,1431,MA,NEWE,,,,,,,
01432,1432,MA,NEWE,,,,,,,
01432,1432,MA,NEWE,,,,,,,
01434,1434,MA,NEWE,,,,,,,
01436,1436,MA,NEWE,,,,,,,
01436,1436,MA,NEWE,,,,,,,
01438,1438,MA,NEWE,,,,,,,
01438,1438,MA,NEWE,,,,,,,
01440,1440,MA,NEWE,,,,,,,
